,event,annot,sent_val,lemma,fe,value,is_causation,is_cause_effect
1416,Battle_of_Messines_(1917),Battle_of_Messines_(1917)_0_2_1,"The attack forced the Germans to move reserves to Flanders from the Arras and Aisne fronts, relieving pressure on the French.",forced,Effect,the Germans to move reserves to Flanders from the Arras and Aisne fronts,1,1
1791,Battle_of_Tigharghar,Battle_of_Tigharghar_0_1_0,Heavy gun-fire was exchanged between the two leading to a brief standoff.,leading,Cause,Heavy gun-fire was exchanged between the two,1,1
1792,Battle_of_Tigharghar,Battle_of_Tigharghar_0_1_0,Heavy gun-fire was exchanged between the two leading to a brief standoff.,leading,Effect,to a brief standoff,1,1
1876,Siege_of_Takatō_(1582),Siege_of_Takatō_(1582)_0_1_5,"After the destruction of the Takeda in Kai province in 1582, resulting in the death of Takeda Katsuyori and many others, Takeda Morinobu (also known as Nishina Morinobu), the fifth son of the famed Takeda Shingen, fortified himself within the .",resulting,Cause,the destruction of the Takeda in Kai province in 1582,1,1
1878,Siege_of_Takatō_(1582),Siege_of_Takatō_(1582)_0_1_5,"After the destruction of the Takeda in Kai province in 1582, resulting in the death of Takeda Katsuyori and many others, Takeda Morinobu (also known as Nishina Morinobu), the fifth son of the famed Takeda Shingen, fortified himself within the .",resulting,Effect,in the death of Takeda Katsuyori and many others,1,1
1932,Appin_Murder,Appin_Murder_0_1_2,"The murder occurred in the aftermath of the Jacobite Rising of 1745 and led to the execution of James Stewart of the Glens, often characterized as a notorious miscarriage of justice.",led,Cause,The murder,1,1
1933,Appin_Murder,Appin_Murder_0_1_2,"The murder occurred in the aftermath of the Jacobite Rising of 1745 and led to the execution of James Stewart of the Glens, often characterized as a notorious miscarriage of justice.",led,Effect,"to the execution of James Stewart of the Glens, often characterized as a notorious miscarriage of justice",1,1
1970,Juno_Beach,Juno_Beach_0_10_5,"The landings initially encountered heavy resistance from the German 716th Division; the preliminary bombardment proved less effective than had been hoped, and rough weather forced the first wave to be delayed until 07:35.",forced,Cause,rough weather,1,1
1971,Juno_Beach,Juno_Beach_0_10_5,"The landings initially encountered heavy resistance from the German 716th Division; the preliminary bombardment proved less effective than had been hoped, and rough weather forced the first wave to be delayed until 07:35.",forced,Effect,to be delayed until 07:35,1,1
2081,Battle_of_Dennewitz,Battle_of_Dennewitz_0_2_7,"The battle marked a turning point in the German Campaign of 1813 as not only did the Allied victory end Napoleon's hopes of capturing Berlin and knocking Prussia out of the war, but the severity of the French defeat was also the catalyst for the defection of Napoleon's primary German ally Bavaria and the erosion of fidelity in the Saxon Army toward the Napoleonic cause.",cause.,Cause,Napoleonic,0,0
2120,Battle_of_Vitebsk_(1812),Battle_of_Vitebsk_(1812)_0_9_5,"Unbeknownst to Napoleon, the Russian army retreated during the afternoon and night, which meant that the Emperor's plans for a major battle collapsed.",meant,Cause,which,1,0
2121,Battle_of_Vitebsk_(1812),Battle_of_Vitebsk_(1812)_0_9_5,"Unbeknownst to Napoleon, the Russian army retreated during the afternoon and night, which meant that the Emperor's plans for a major battle collapsed.",meant,Effect,that the Emperor's plans for a major battle collapsed,1,0
2217,The_Troubles,The_Troubles_0_26_4,"The Northern Ireland peace process led to paramilitary ceasefires and talks between the main political parties, which resulted in the Good Friday Agreement of 1998.",resulted,Cause,which,1,1
2218,The_Troubles,The_Troubles_0_26_4,"The Northern Ireland peace process led to paramilitary ceasefires and talks between the main political parties, which resulted in the Good Friday Agreement of 1998.",resulted,Effect,in the Good Friday Agreement of 1998,1,1
2386,Battle_of_Basra_(2008),Battle_of_Basra_(2008)_0_5_0,"More than 1,000 casualties resulted in six days of heavy fighting.",resulted,Cause,"More than 1,000 casualties",1,1
2387,Battle_of_Basra_(2008),Battle_of_Basra_(2008)_0_5_0,"More than 1,000 casualties resulted in six days of heavy fighting.",resulted,Effect,in six days of heavy fighting,1,1
2412,Battle_of_Shuja'iyya,Battle_of_Shuja'iyya_0_9_7,Residents interviewed afterwards by The Independent claimed lack of safe refuges and the difficulty of fleeing as reasons for staying put.,reasons,Cause,lack of safe refuges and the difficulty of fleeing,1,1
2413,Battle_of_Shuja'iyya,Battle_of_Shuja'iyya_0_9_7,Residents interviewed afterwards by The Independent claimed lack of safe refuges and the difficulty of fleeing as reasons for staying put.,reasons,Effect,for staying put,1,1
2474,Operation_Larchwood_4,Operation_Larchwood_4_0_1_3,"The raid was a major success, as a result of which intelligence was gathered which led to the finding and killing of Al Qaeda in Iraq's leader Abu Musab al-Zarqawi a few months later.",led,Cause,which,1,1
2475,Operation_Larchwood_4,Operation_Larchwood_4_0_1_3,"The raid was a major success, as a result of which intelligence was gathered which led to the finding and killing of Al Qaeda in Iraq's leader Abu Musab al-Zarqawi a few months later.",led,Effect,to the finding and killing of Al Qaeda in Iraq's leader Abu Musab al-Zarqawi a few months later,1,1
3110,Second_Battle_of_Charasiab,Second_Battle_of_Charasiab_0_2_2,"In April 1880 a 1,200 strong force under Colonel Jenkins, including a half-battalion of the 92nd Highlanders, was sent from Kabul to Charasiab, to protect a supply column sent there to meet Lieutenant-General Stewart's division travelling from Kandahar to Kabul.",sent,Effect,to Charasiab,0,0
3190,Battle_on_Snowshoes,Battle_on_Snowshoes_0_8_1,This battle gave rise to the tale that Rogers escaped capture by sliding 400 feet (120 m) down a rockface to the frozen surface of Lake George.,gave,Cause,This battle,1,1
3191,Battle_on_Snowshoes,Battle_on_Snowshoes_0_8_1,This battle gave rise to the tale that Rogers escaped capture by sliding 400 feet (120 m) down a rockface to the frozen surface of Lake George.,gave,Effect,to the tale that Rogers escaped capture by sliding 400 feet ( 120 m) down a rockface to the frozen surface of Lake George,1,1
3256,Sinking_of_HMS_Avon,Sinking_of_HMS_Avon_0_1_2,"In the battle, the ship-rigged sloop of war USS Wasp forced the Cruizer-class brig-sloop HMS Avon to surrender.",forced,Cause,the ship-rigged sloop of war USS Wasp,1,1
3260,Sinking_of_HMS_Avon,Sinking_of_HMS_Avon_0_1_2,"In the battle, the ship-rigged sloop of war USS Wasp forced the Cruizer-class brig-sloop HMS Avon to surrender.",forced,Effect,to surrender,1,1
3336,Battle_of_Tarafiyah_(1907),Battle_of_Tarafiyah_(1907)_0_1_2,The battle took place on 24 September 1907 and resulted in a Saudi victory.,resulted,Cause,The battle,1,1
3337,Battle_of_Tarafiyah_(1907),Battle_of_Tarafiyah_(1907)_0_1_2,The battle took place on 24 September 1907 and resulted in a Saudi victory.,resulted,Effect,in a Saudi victory,1,1
3350,Battle_of_Milazzo_(1860),Battle_of_Milazzo_(1860)_0_1_2,The main clash began on the morning of the 20 July on an open field leading to the cape on which Milazzo is located.,leading,Cause,an open field,1,0
3351,Battle_of_Milazzo_(1860),Battle_of_Milazzo_(1860)_0_1_2,The main clash began on the morning of the 20 July on an open field leading to the cape on which Milazzo is located.,leading,Effect,to the cape on which Milazzo is located,1,1
3518,Battle_of_Ban_Me_Thuot,Battle_of_Ban_Me_Thuot_0_0_0,The Battle of Ban Me Thuot was a decisive battle of the Vietnam War which led to the complete destruction of South Vietnam's II Corps Tactical Zone.,led,Cause,which,1,1
3519,Battle_of_Ban_Me_Thuot,Battle_of_Ban_Me_Thuot_0_0_0,The Battle of Ban Me Thuot was a decisive battle of the Vietnam War which led to the complete destruction of South Vietnam's II Corps Tactical Zone.,led,Effect,to the complete destruction of South Vietnam's II Corps Tactical Zone,1,1
3542,Battle_of_Coral–Balmoral,Battle_of_Coral–Balmoral_0_6_2,"By 12 May the fighting was over, and the PAVN/VC were forced to withdraw having suffered heavy casualties.",forced,Effect,to withdraw,1,1
3625,Gulf_of_Tonkin_incident,Gulf_of_Tonkin_incident_0_0_5,"The Gulf of Tonkin incident (Vietnamese: Sự kiện Vịnh Bắc Bộ), also known as the USS Maddox incident, was an international confrontation that led to the United States engaging more directly in the Vietnam War.",led,Cause,that,1,1
3626,Gulf_of_Tonkin_incident,Gulf_of_Tonkin_incident_0_0_5,"The Gulf of Tonkin incident (Vietnamese: Sự kiện Vịnh Bắc Bộ), also known as the USS Maddox incident, was an international confrontation that led to the United States engaging more directly in the Vietnam War.",led,Effect,to the United States engaging more directly in the Vietnam War,1,1
3705,War_in_Vietnam_(1959–1963),War_in_Vietnam_(1959–1963)_0_0_11,"The 1959 to 1963 phase of the Vietnam War started after the North Vietnamese had made a firm decision to commit to a military intervention in the guerrilla war in the South Vietnam, a buildup phase began, between the 1959 North Vietnamese decision and the Gulf of Tonkin Incident, which led to a major US escalation of its involvement.",led,Cause,which,1,1
3706,War_in_Vietnam_(1959–1963),War_in_Vietnam_(1959–1963)_0_0_11,"The 1959 to 1963 phase of the Vietnam War started after the North Vietnamese had made a firm decision to commit to a military intervention in the guerrilla war in the South Vietnam, a buildup phase began, between the 1959 North Vietnamese decision and the Gulf of Tonkin Incident, which led to a major US escalation of its involvement.",led,Effect,a major US escalation of its involvement,1,1
3842,Battle_of_Győr,Battle_of_Győr_0_7_4,"Görgei was not in the city at the start of the battle, because he was in Pest, and arrived to Győr only towards the end of the battle.",because,Effect,Görgei was not in the city at the start of the battle,1,1
3843,Battle_of_Győr,Battle_of_Győr_0_7_4,"Görgei was not in the city at the start of the battle, because he was in Pest, and arrived to Győr only towards the end of the battle.",because,Cause,"he was in Pest, and arrived to Gyr only towards the end of the battle",1,1
4429,Siege_of_Coevorden_(1592),Siege_of_Coevorden_(1592)_0_3_6,However a failed attack on the besiegers as well as desertions and disease meant the Spanish relief force had to retreat leaving Coevorden to its fate.,leaving,Effect,to its fate,0,0
4439,Siege_of_Grave_(1602),Siege_of_Grave_(1602)_0_3_2,The defeat was severe enough to cause a major mutiny in the Spanish army.,cause,Cause,The defeat,1,1
4440,Siege_of_Grave_(1602),Siege_of_Grave_(1602)_0_3_2,The defeat was severe enough to cause a major mutiny in the Spanish army.,cause,Effect,a major mutiny in the Spanish army,1,1
4480,Spanish_Armada,Spanish_Armada_0_3_7,"The aim was to overthrow Queen Elizabeth I and her establishment of Protestantism in England, to stop English interference in the Spanish Netherlands, and to stop the harm caused by English and Dutch privateering ships that disrupted Spanish interests in the Americas.",caused,Effect,the harm,1,1
4481,Spanish_Armada,Spanish_Armada_0_3_7,"The aim was to overthrow Queen Elizabeth I and her establishment of Protestantism in England, to stop English interference in the Spanish Netherlands, and to stop the harm caused by English and Dutch privateering ships that disrupted Spanish interests in the Americas.",caused,Cause,by English and Dutch privateering ships that disrupted Spanish interests in the Americas,1,1
4651,Battle_of_Jutland,Battle_of_Jutland_0_11_2,"The German plan had been delayed, causing further problems for their submarines, which had reached the limit of their endurance at sea.",causing,Effect,"further problems for their submarines, which had reached the limit of their endurance at sea",1,1
4653,Battle_of_Kämärä,Battle_of_Kämärä_0_2_11,"After taking the village, the Whites ambushed a Red train carrying a large cargo of weapons from Saint Petersburg, but were finally forced to leave the scene as they ran out of ammunition.",forced,Effect,to leave the scene,1,1
4654,Battle_of_Kämärä,Battle_of_Kämärä_0_2_11,"After taking the village, the Whites ambushed a Red train carrying a large cargo of weapons from Saint Petersburg, but were finally forced to leave the scene as they ran out of ammunition.",forced,Cause,as they ran out of ammunition,1,1
4715,Battle_of_Mahiwa,Battle_of_Mahiwa_0_1_3,"The Germans inflicted substantial casualties upon Van Deventer's army, forcing it to withdraw.",forcing,Cause,The Germans,1,1
4717,Battle_of_Mahiwa,Battle_of_Mahiwa_0_1_3,"The Germans inflicted substantial casualties upon Van Deventer's army, forcing it to withdraw.",forcing,Effect,to withdraw,1,1
5090,Kerensky–Krasnov_uprising,Kerensky–Krasnov_uprising_0_5_3,"The failure of the uprising led to Kerensky being forced to go into exile, eventually finding refuge in France and later the United States.",forced,Effect,to go into exile,1,1
5744,Actions_along_the_Matanikau,Actions_along_the_Matanikau_0_9_2,The second action forced the Japanese to retreat from their positions east of the Matanikau and hindered Japanese preparations for their planned major offensive on the U.S.,forced,Cause,The second action,1,1
5746,Actions_along_the_Matanikau,Actions_along_the_Matanikau_0_9_2,The second action forced the Japanese to retreat from their positions east of the Matanikau and hindered Japanese preparations for their planned major offensive on the U.S.,forced,Effect,to retreat from their positions east of the Matanikau,1,1
5774,Atomic_bombings_of_Hiroshima_and_Nagasaki,Atomic_bombings_of_Hiroshima_and_Nagasaki_0_19_8,"Supporters believe that the atomic bombings were necessary to bring a swift end to the war with minimal casualties, while critics argue that the Japanese government could have been brought to surrender through other means, while highlighting the moral and ethical implications of nuclear weapons and the deaths caused to civilians.",brought,Effect,to surrender through other means,1,1
5802,Battle_at_Borodino_Field,Battle_at_Borodino_Field_0_2_0,Georgy Zhukov (...this division [32nd] was forced to cross the arms with the enemy on the Borodino Field...).,forced,Effect,to cross the arms with the enemy on the Borodino Field ),1,1
5877,Battle_of_Beda_Fomm,Battle_of_Beda_Fomm_0_10_2,"The British were unable to continue beyond El Agheila anyway, because of vehicle breakdowns, exhaustion and the effect of the much longer supply transport distance from the base in Egypt.",of,Effect,The British were unable to continue beyond El Agheila anyway,1,1
5878,Battle_of_Beda_Fomm,Battle_of_Beda_Fomm_0_10_2,"The British were unable to continue beyond El Agheila anyway, because of vehicle breakdowns, exhaustion and the effect of the much longer supply transport distance from the base in Egypt.",of,Cause,"vehicle breakdowns, exhaustion and the effect of the much longer supply transport distance from the base in Egypt",1,1
6076,Battle_of_Luzon,Battle_of_Luzon_0_1_1,The battle resulted in a U.S. and Filipino victory.,resulted,Cause,The battle,1,1
6077,Battle_of_Luzon,Battle_of_Luzon_0_1_1,The battle resulted in a U.S. and Filipino victory.,resulted,Effect,in a U.S. and Filipino victory,1,1
6108,Battle_of_Mount_Tambu,Battle_of_Mount_Tambu_0_1_3,"The battle formed part of the wider Salamaua–Lae campaign and was fought in the final stages of the campaign, which had seen a combined Australian and US force advance from Wau towards Salamaua following the repulse of the Japanese attack on Wau in late January and early February 1943.",seen,Cause,which,0,0
6109,Battle_of_Mount_Tambu,Battle_of_Mount_Tambu_0_1_3,"The battle formed part of the wider Salamaua–Lae campaign and was fought in the final stages of the campaign, which had seen a combined Australian and US force advance from Wau towards Salamaua following the repulse of the Japanese attack on Wau in late January and early February 1943.",seen,Effect,a combined Australian and US force advance from Wau towards Salamaua following the repulse of the Japanese attack on Wau in late January and early February 1943,0,0
6202,Battle_of_Sio,Battle_of_Sio_0_2_2,"Constant pressure from US Navy PT boats, Australian land forces and Allied aircraft brought the Japanese logistical system to the brink of collapse, resulting in disease, malnutrition, and privation for the Japanese soldiers.",resulting,Cause,"Constant pressure from US Navy PT boats, Australian land forces and Allied aircraft",1,1
6205,Battle_of_Sio,Battle_of_Sio_0_2_2,"Constant pressure from US Navy PT boats, Australian land forces and Allied aircraft brought the Japanese logistical system to the brink of collapse, resulting in disease, malnutrition, and privation for the Japanese soldiers.",resulting,Effect,"in disease, malnutrition, and privation for the Japanese soldiers",1,1
6207,Battle_of_Sittang_Bridge,Battle_of_Sittang_Bridge_0_6_4,"They disengaged from the enemy under cover of night, and fell back 30 miles (50 km) westwards along the track that led to the bridge.",led,Cause,that,0,0
6208,Battle_of_Sittang_Bridge,Battle_of_Sittang_Bridge_0_6_4,"They disengaged from the enemy under cover of night, and fell back 30 miles (50 km) westwards along the track that led to the bridge.",led,Effect,to the bridge,0,0
6468,Doolittle_Raid,Doolittle_Raid_0_18_3,"Doolittle initially believed that the loss of all his aircraft would lead to his court-martial, but he instead received the Medal of Honor and was promoted two ranks to brigadier general.",lead,Cause,the loss of all his aircraft,1,1
6469,Doolittle_Raid,Doolittle_Raid_0_18_3,"Doolittle initially believed that the loss of all his aircraft would lead to his court-martial, but he instead received the Medal of Honor and was promoted two ranks to brigadier general.",lead,Effect,to his court-martial,1,1
6574,Italian_invasion_of_France,Italian_invasion_of_France_0_5_5,"The two sides exchanged air raids on the first day of war, but little transpired on the Alpine front, since France and Italy had defensive strategies.",since,Effect,little transpired on the Alpine front,1,1
6575,Italian_invasion_of_France,Italian_invasion_of_France_0_5_5,"The two sides exchanged air raids on the first day of war, but little transpired on the Alpine front, since France and Italy had defensive strategies.",since,Cause,France and Italy had defensive strategies,1,1
6785,Operation_Greif,Operation_Greif_0_2_4,"German soldiers, wearing captured British and U.S. Army uniforms and using captured Allied vehicles, were to cause confusion in the rear of the Allied lines.",cause,Effect,confusion in the rear of the Allied lines,1,1
6978,Second_Great_Fire_of_London,Second_Great_Fire_of_London_0_1_3,"The Luftwaffe raid caused fires over an area greater than that of the Great Fire of London in 1666, leading one American correspondent to say in a cable to his office that The second Great Fire of London has begun.",leading,Cause,The Luftwaffe raid,1,1
6980,Second_Great_Fire_of_London,Second_Great_Fire_of_London_0_1_3,"The Luftwaffe raid caused fires over an area greater than that of the Great Fire of London in 1666, leading one American correspondent to say in a cable to his office that The second Great Fire of London has begun.",leading,Effect,to say in a cable to his office that The second Great Fire of London has begun,1,1
7097,Worek_Plan,Worek_Plan_0_2_5,"It caused the submarines to operate in a confined area near the shore in shallow waters, making them vulnerable to strong enemy anti-submarine forces.",making,Effect,vulnerable to strong enemy anti-submarine forces,1,1
7213,Battle_of_Shangcai,Battle_of_Shangcai_0_0_2,"Battle of Shangcai was a series of clashes fought between the nationalists and the communists during Chinese Civil War in the post World War II era, and resulted in the communist victory.",resulted,Cause,Battle of Shangcai,1,1
7214,Battle_of_Shangcai,Battle_of_Shangcai_0_0_2,"Battle of Shangcai was a series of clashes fought between the nationalists and the communists during Chinese Civil War in the post World War II era, and resulted in the communist victory.",resulted,Effect,in the communist victory,1,1
7243,Campaign_to_Suppress_Bandits_in_Central_and_Southern_China,Campaign_to_Suppress_Bandits_in_Central_and_Southern_China_0_1_3,"The campaign was fought during the Chinese Civil War in the post-World War II era in six Chinese provinces: Henan, Hubei, Hunan, Jiangxi, Guangdong and Guangxi, and resulted in a Communist victory.",resulted,Cause,The campaign,1,1
7244,Campaign_to_Suppress_Bandits_in_Central_and_Southern_China,Campaign_to_Suppress_Bandits_in_Central_and_Southern_China_0_1_3,"The campaign was fought during the Chinese Civil War in the post-World War II era in six Chinese provinces: Henan, Hubei, Hunan, Jiangxi, Guangdong and Guangxi, and resulted in a Communist victory.",resulted,Effect,in a Communist victory,1,1
7322,Shanghai_massacre,Shanghai_massacre_0_2_1,"The purge led to an open split between left and right wing factions in the KMT, with Chiang Kai-shek establishing himself as the leader of the right wing faction based in Nanjing, in opposition to the original left-wing KMT government based in Wuhan led by Wang Jingwei.",led,Cause,The purge,1,1
7323,Shanghai_massacre,Shanghai_massacre_0_2_1,"The purge led to an open split between left and right wing factions in the KMT, with Chiang Kai-shek establishing himself as the leader of the right wing faction based in Nanjing, in opposition to the original left-wing KMT government based in Wuhan led by Wang Jingwei.",led,Effect,to an open split between left and right wing factions in the KMT,1,1
7448,Battle_of_Curupayty,Battle_of_Curupayty_0_4_4,"The Brazilian Navy gave support to the 20,000 assailants, but the ships had to keep some distance from the guns at the fortress of Humaitá, which led to the lack of accuracy and impact of the ship's fire.",led,Cause,which,1,1
7449,Battle_of_Curupayty,Battle_of_Curupayty_0_4_4,"The Brazilian Navy gave support to the 20,000 assailants, but the ships had to keep some distance from the guns at the fortress of Humaitá, which led to the lack of accuracy and impact of the ship's fire.",led,Effect,to the lack of accuracy and impact of the ship's fire,1,1
8030,Battle_of_Dongshan_Island,Battle_of_Dongshan_Island_0_1_0,It resulted in the Communists taking the island from the nationalists.,resulted,Cause,It,1,1
8031,Battle_of_Dongshan_Island,Battle_of_Dongshan_Island_0_1_0,It resulted in the Communists taking the island from the nationalists.,resulted,Effect,in the Communists taking the island from the nationalists,1,1
8089,Battle_of_Kujin,Battle_of_Kujin_0_4_4,"A platoon-sized reconnaissance patrol crossed the river using debris from the destroyed span; however, it was soon forced to withdraw by KPA holding the high ground.",forced,Effect,to withdraw,1,1
8090,Battle_of_Kujin,Battle_of_Kujin_0_4_4,"A platoon-sized reconnaissance patrol crossed the river using debris from the destroyed span; however, it was soon forced to withdraw by KPA holding the high ground.",forced,Cause,by KPA holding the high ground,1,1
8165,Battle_of_Route_Coloniale_4,Battle_of_Route_Coloniale_4_0_6_2,The battle lasted from 30 September to 18 October 1950 and resulted in a French defeat.,resulted,Cause,The battle,1,1
8166,Battle_of_Route_Coloniale_4,Battle_of_Route_Coloniale_4_0_6_2,The battle lasted from 30 September to 18 October 1950 and resulted in a French defeat.,resulted,Effect,in a French defeat,1,1
8179,Battle_of_Sunchon_(air),Battle_of_Sunchon_(air)_0_3_2,Its experience in the battle led to No. 77,led,Cause,Its experience in the battle,1,1
8180,Battle_of_Sunchon_(air),Battle_of_Sunchon_(air)_0_3_2,Its experience in the battle led to No. 77,led,Effect,to No. 77,1,1
8364,First_Indochina_War,First_Indochina_War_0_22_7,The strategy of pushing the Việt Minh into attacking well-defended bases in remote parts of the country at the end of their logistical trails was validated at the Battle of Nà Sản even though the base was relatively weak because of a lack of concrete and steel.,because,Effect,the base was relatively weak,1,1
