,event,annot,sent_val,frame,lemma,fe,value,ent,is_ent
401,Action_of_30_September_1639,Action_of_30_September_1639_0_2_0,"Bom Jesus was set alight and allowed to drift toward the new galleon São Boaventura, which was refusing to surrender, causing São Boaventura to catch fire and blow up.",Causation,causing,Cause,which,N/A,N/A
403,Action_of_30_September_1639,Action_of_30_September_1639_0_2_0,"Bom Jesus was set alight and allowed to drift toward the new galleon São Boaventura, which was refusing to surrender, causing São Boaventura to catch fire and blow up.",Causation,causing,Effect,to catch fire and blow up,N/A,N/A
611,Battle_of_Handschuhsheim,Battle_of_Handschuhsheim_0_4_4,"In early 1795 many of France's enemies made peace, leaving only Austria and Great Britain in opposition.",Causation,leaving,Cause,In early 1795,N/A,N/A
614,Battle_of_Handschuhsheim,Battle_of_Handschuhsheim_0_4_4,"In early 1795 many of France's enemies made peace, leaving only Austria and Great Britain in opposition.",Causation,leaving,Effect,in opposition,N/A,N/A
903,Rhine_campaign_of_1795,Rhine_campaign_of_1795_0_12_1,"It is debatable whether Pichegru's treason, his bad generalship or the unrealistic expectations of the war planners in Paris was the actual cause of the French failure.",Causation,cause,Cause,"Pichegru's treason, his bad generalship or the unrealistic expectations of the war planners in Paris",Paris,1
904,Rhine_campaign_of_1795,Rhine_campaign_of_1795_0_12_1,"It is debatable whether Pichegru's treason, his bad generalship or the unrealistic expectations of the war planners in Paris was the actual cause of the French failure.",Causation,cause,Effect,of the French failure.,N/A,N/A
920,Second_Battle_of_Boulou,Second_Battle_of_Boulou_0_1_1,"This battle saw the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmín de Carvajal, Conde de la Unión.",Causation,saw,Cause,This battle,N/A,N/A
921,Second_Battle_of_Boulou,Second_Battle_of_Boulou_0_1_1,"This battle saw the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmín de Carvajal, Conde de la Unión.",Causation,saw,Effect,"the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmn de Carvajal, Conde de la Unión",Catalonia,1
922,Second_Battle_of_Boulou,Second_Battle_of_Boulou_0_1_1,"This battle saw the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmín de Carvajal, Conde de la Unión.",Causation,saw,Effect,"the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmn de Carvajal, Conde de la Unión",French_Royal_Army,1
923,Second_Battle_of_Boulou,Second_Battle_of_Boulou_0_1_1,"This battle saw the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmín de Carvajal, Conde de la Unión.",Causation,saw,Effect,"the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmn de Carvajal, Conde de la Unión",Imperial_German_Army,0
924,Second_Battle_of_Boulou,Second_Battle_of_Boulou_0_1_1,"This battle saw the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmín de Carvajal, Conde de la Unión.",Causation,saw,Effect,"the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmn de Carvajal, Conde de la Unión",Jacques_François_Dugommier,1
925,Second_Battle_of_Boulou,Second_Battle_of_Boulou_0_1_1,"This battle saw the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmín de Carvajal, Conde de la Unión.",Causation,saw,Effect,"the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmn de Carvajal, Conde de la Unión",Pyrenees,1
947,Siege_of_Calvi,Siege_of_Calvi_0_8_2,"Stuart and the French commander Raphaël de Casabianca then engaged in extended negotiations which led to first a truce and then, on 10 August, a capitulation.",Causation,led,Cause,which,N/A,N/A
948,Siege_of_Calvi,Siege_of_Calvi_0_8_2,"Stuart and the French commander Raphaël de Casabianca then engaged in extended negotiations which led to first a truce and then, on 10 August, a capitulation.",Causation,led,Effect,"to first a truce and then, on 10 August, a capitulation",N/A,N/A
1082,Yom_Kippur_War,Yom_Kippur_War_0_5_4,"Following the outbreak of hostilities, both the United States and the Soviet Union initiated massive resupply efforts to their respective allies during the war, which led to a near-confrontation between the two nuclear-armed superpowers.",Causation,led,Cause,which,N/A,N/A
1083,Yom_Kippur_War,Yom_Kippur_War_0_5_4,"Following the outbreak of hostilities, both the United States and the Soviet Union initiated massive resupply efforts to their respective allies during the war, which led to a near-confrontation between the two nuclear-armed superpowers.",Causation,led,Effect,to a near-confrontation between the two nuclear-armed superpowers,N/A,N/A
1156,Battle_of_Tabsor,Battle_of_Tabsor_0_11_2,"These operations began the Final Offensive, ultimately resulting in the destruction of the equivalent of an Ottoman army and the retreat in disarray of what remained of two armies.",Causation,resulting,Cause,These operations,N/A,N/A
1157,Battle_of_Tabsor,Battle_of_Tabsor_0_11_2,"These operations began the Final Offensive, ultimately resulting in the destruction of the equivalent of an Ottoman army and the retreat in disarray of what remained of two armies.",Causation,resulting,Effect,in the destruction of the equivalent of an Ottoman army and the retreat in disarray of what remained of two armies,Military_of_the_Ottoman_Empire,1
1196,Battles_of_Ramadi_(1917),Battles_of_Ramadi_(1917)_0_4_0,"This was caused by a combination of factors, including extreme heat that caused more casualties than enemy fire, bad weather, faulty British communications, and an effective Turkish defence.",Causation,caused,Effect,This,N/A,N/A
1197,Battles_of_Ramadi_(1917),Battles_of_Ramadi_(1917)_0_4_0,"This was caused by a combination of factors, including extreme heat that caused more casualties than enemy fire, bad weather, faulty British communications, and an effective Turkish defence.",Causation,caused,Cause,"by a combination of factors, including extreme heat that caused more casualties than enemy fire, bad weather, faulty British communications, and an effective Turkish defence",N/A,N/A
1256,Third_attack_on_Anzac_Cove,Third_attack_on_Anzac_Cove_0_7_2,"It had failed by midday; the Turks were caught by enfilade fire from the defenders' rifles and machine-guns, which caused around ten thousand casualties, including three thousand deaths.",Causation,caused,Cause,which,N/A,N/A
1257,Third_attack_on_Anzac_Cove,Third_attack_on_Anzac_Cove_0_7_2,"It had failed by midday; the Turks were caught by enfilade fire from the defenders' rifles and machine-guns, which caused around ten thousand casualties, including three thousand deaths.",Causation,caused,Effect,"around ten thousand casualties, including three thousand deaths",N/A,N/A
1415,Battle_of_Messines_(1917),Battle_of_Messines_(1917)_0_2_1,"The attack forced the Germans to move reserves to Flanders from the Arras and Aisne fronts, relieving pressure on the French.",Causation,forced,Cause,The attack,N/A,N/A
1416,Battle_of_Messines_(1917),Battle_of_Messines_(1917)_0_2_1,"The attack forced the Germans to move reserves to Flanders from the Arras and Aisne fronts, relieving pressure on the French.",Causation,forced,Effect,the Germans to move reserves to Flanders from the Arras and Aisne fronts,Arras,1
1417,Battle_of_Messines_(1917),Battle_of_Messines_(1917)_0_2_1,"The attack forced the Germans to move reserves to Flanders from the Arras and Aisne fronts, relieving pressure on the French.",Causation,forced,Effect,the Germans to move reserves to Flanders from the Arras and Aisne fronts,Flanders,1
1418,Battle_of_Messines_(1917),Battle_of_Messines_(1917)_0_2_1,"The attack forced the Germans to move reserves to Flanders from the Arras and Aisne fronts, relieving pressure on the French.",Causation,forced,Effect,the Germans to move reserves to Flanders from the Arras and Aisne fronts,Military_reserve,1
1419,Battle_of_Messines_(1917),Battle_of_Messines_(1917)_0_2_1,"The attack forced the Germans to move reserves to Flanders from the Arras and Aisne fronts, relieving pressure on the French.",Causation,forced,Effect,the Germans to move reserves to Flanders from the Arras and Aisne fronts,Third_Battle_of_the_Aisne,0
1791,Battle_of_Tigharghar,Battle_of_Tigharghar_0_1_0,Heavy gun-fire was exchanged between the two leading to a brief standoff.,Causation,leading,Cause,Heavy gun-fire was exchanged between the two,N/A,N/A
1792,Battle_of_Tigharghar,Battle_of_Tigharghar_0_1_0,Heavy gun-fire was exchanged between the two leading to a brief standoff.,Causation,leading,Effect,to a brief standoff,N/A,N/A
1876,Siege_of_Takatō_(1582),Siege_of_Takatō_(1582)_0_1_5,"After the destruction of the Takeda in Kai province in 1582, resulting in the death of Takeda Katsuyori and many others, Takeda Morinobu (also known as Nishina Morinobu), the fifth son of the famed Takeda Shingen, fortified himself within the .",Causation,resulting,Cause,the destruction of the Takeda in Kai province in 1582,Kai_Province,1
1877,Siege_of_Takatō_(1582),Siege_of_Takatō_(1582)_0_1_5,"After the destruction of the Takeda in Kai province in 1582, resulting in the death of Takeda Katsuyori and many others, Takeda Morinobu (also known as Nishina Morinobu), the fifth son of the famed Takeda Shingen, fortified himself within the .",Causation,resulting,Cause,the destruction of the Takeda in Kai province in 1582,Takeda_clan,1
1878,Siege_of_Takatō_(1582),Siege_of_Takatō_(1582)_0_1_5,"After the destruction of the Takeda in Kai province in 1582, resulting in the death of Takeda Katsuyori and many others, Takeda Morinobu (also known as Nishina Morinobu), the fifth son of the famed Takeda Shingen, fortified himself within the .",Causation,resulting,Effect,in the death of Takeda Katsuyori and many others,Takeda_Katsuyori,1
1879,Siege_of_Takatō_(1582),Siege_of_Takatō_(1582)_0_1_5,"After the destruction of the Takeda in Kai province in 1582, resulting in the death of Takeda Katsuyori and many others, Takeda Morinobu (also known as Nishina Morinobu), the fifth son of the famed Takeda Shingen, fortified himself within the .",Causation,resulting,Effect,in the death of Takeda Katsuyori and many others,Takeda_clan,0
1932,Appin_Murder,Appin_Murder_0_1_2,"The murder occurred in the aftermath of the Jacobite Rising of 1745 and led to the execution of James Stewart of the Glens, often characterized as a notorious miscarriage of justice.",Causation,led,Cause,The murder,N/A,N/A
1933,Appin_Murder,Appin_Murder_0_1_2,"The murder occurred in the aftermath of the Jacobite Rising of 1745 and led to the execution of James Stewart of the Glens, often characterized as a notorious miscarriage of justice.",Causation,led,Effect,"to the execution of James Stewart of the Glens, often characterized as a notorious miscarriage of justice",James_Stewart,1
1970,Juno_Beach,Juno_Beach_0_10_5,"The landings initially encountered heavy resistance from the German 716th Division; the preliminary bombardment proved less effective than had been hoped, and rough weather forced the first wave to be delayed until 07:35.",Causation,forced,Cause,rough weather,N/A,N/A
1971,Juno_Beach,Juno_Beach_0_10_5,"The landings initially encountered heavy resistance from the German 716th Division; the preliminary bombardment proved less effective than had been hoped, and rough weather forced the first wave to be delayed until 07:35.",Causation,forced,Effect,to be delayed until 07:35,N/A,N/A
2081,Battle_of_Dennewitz,Battle_of_Dennewitz_0_2_7,"The battle marked a turning point in the German Campaign of 1813 as not only did the Allied victory end Napoleon's hopes of capturing Berlin and knocking Prussia out of the war, but the severity of the French defeat was also the catalyst for the defection of Napoleon's primary German ally Bavaria and the erosion of fidelity in the Saxon Army toward the Napoleonic cause.",Causation,cause.,Cause,Napoleonic,Napoleon,0
2120,Battle_of_Vitebsk_(1812),Battle_of_Vitebsk_(1812)_0_9_5,"Unbeknownst to Napoleon, the Russian army retreated during the afternoon and night, which meant that the Emperor's plans for a major battle collapsed.",Causation,meant,Cause,which,N/A,N/A
2121,Battle_of_Vitebsk_(1812),Battle_of_Vitebsk_(1812)_0_9_5,"Unbeknownst to Napoleon, the Russian army retreated during the afternoon and night, which meant that the Emperor's plans for a major battle collapsed.",Causation,meant,Effect,that the Emperor's plans for a major battle collapsed,N/A,N/A
2217,The_Troubles,The_Troubles_0_26_4,"The Northern Ireland peace process led to paramilitary ceasefires and talks between the main political parties, which resulted in the Good Friday Agreement of 1998.",Causation,resulted,Cause,which,N/A,N/A
2218,The_Troubles,The_Troubles_0_26_4,"The Northern Ireland peace process led to paramilitary ceasefires and talks between the main political parties, which resulted in the Good Friday Agreement of 1998.",Causation,resulted,Effect,in the Good Friday Agreement of 1998,Good_Friday_Agreement,1
2386,Battle_of_Basra_(2008),Battle_of_Basra_(2008)_0_5_0,"More than 1,000 casualties resulted in six days of heavy fighting.",Causation,resulted,Cause,"More than 1,000 casualties",N/A,N/A
2387,Battle_of_Basra_(2008),Battle_of_Basra_(2008)_0_5_0,"More than 1,000 casualties resulted in six days of heavy fighting.",Causation,resulted,Effect,in six days of heavy fighting,N/A,N/A
2412,Battle_of_Shuja'iyya,Battle_of_Shuja'iyya_0_9_7,Residents interviewed afterwards by The Independent claimed lack of safe refuges and the difficulty of fleeing as reasons for staying put.,Causation,reasons,Cause,lack of safe refuges and the difficulty of fleeing,N/A,N/A
2413,Battle_of_Shuja'iyya,Battle_of_Shuja'iyya_0_9_7,Residents interviewed afterwards by The Independent claimed lack of safe refuges and the difficulty of fleeing as reasons for staying put.,Causation,reasons,Effect,for staying put,N/A,N/A
2474,Operation_Larchwood_4,Operation_Larchwood_4_0_1_3,"The raid was a major success, as a result of which intelligence was gathered which led to the finding and killing of Al Qaeda in Iraq's leader Abu Musab al-Zarqawi a few months later.",Causation,led,Cause,which,N/A,N/A
2475,Operation_Larchwood_4,Operation_Larchwood_4_0_1_3,"The raid was a major success, as a result of which intelligence was gathered which led to the finding and killing of Al Qaeda in Iraq's leader Abu Musab al-Zarqawi a few months later.",Causation,led,Effect,to the finding and killing of Al Qaeda in Iraq's leader Abu Musab al-Zarqawi a few months later,Abu_Musab_al-Zarqawi,1
2476,Operation_Larchwood_4,Operation_Larchwood_4_0_1_3,"The raid was a major success, as a result of which intelligence was gathered which led to the finding and killing of Al Qaeda in Iraq's leader Abu Musab al-Zarqawi a few months later.",Causation,led,Effect,to the finding and killing of Al Qaeda in Iraq's leader Abu Musab al-Zarqawi a few months later,Al-Qaeda,1
2477,Operation_Larchwood_4,Operation_Larchwood_4_0_1_3,"The raid was a major success, as a result of which intelligence was gathered which led to the finding and killing of Al Qaeda in Iraq's leader Abu Musab al-Zarqawi a few months later.",Causation,led,Effect,to the finding and killing of Al Qaeda in Iraq's leader Abu Musab al-Zarqawi a few months later,Iraq,1
3110,Second_Battle_of_Charasiab,Second_Battle_of_Charasiab_0_2_2,"In April 1880 a 1,200 strong force under Colonel Jenkins, including a half-battalion of the 92nd Highlanders, was sent from Kabul to Charasiab, to protect a supply column sent there to meet Lieutenant-General Stewart's division travelling from Kandahar to Kabul.",Causation,sent,Effect,to Charasiab,Char_Asiab,1
3190,Battle_on_Snowshoes,Battle_on_Snowshoes_0_8_1,This battle gave rise to the tale that Rogers escaped capture by sliding 400 feet (120 m) down a rockface to the frozen surface of Lake George.,Causation,gave,Cause,This battle,N/A,N/A
3191,Battle_on_Snowshoes,Battle_on_Snowshoes_0_8_1,This battle gave rise to the tale that Rogers escaped capture by sliding 400 feet (120 m) down a rockface to the frozen surface of Lake George.,Causation,gave,Effect,to the tale that Rogers escaped capture by sliding 400 feet ( 120 m) down a rockface to the frozen surface of Lake George,"Lake_George_(lake),_New_York",1
3192,Battle_on_Snowshoes,Battle_on_Snowshoes_0_8_1,This battle gave rise to the tale that Rogers escaped capture by sliding 400 feet (120 m) down a rockface to the frozen surface of Lake George.,Causation,gave,Effect,to the tale that Rogers escaped capture by sliding 400 feet ( 120 m) down a rockface to the frozen surface of Lake George,Rock_music,0
3256,Sinking_of_HMS_Avon,Sinking_of_HMS_Avon_0_1_2,"In the battle, the ship-rigged sloop of war USS Wasp forced the Cruizer-class brig-sloop HMS Avon to surrender.",Causation,forced,Cause,the ship-rigged sloop of war USS Wasp,Sloop-of-war,1
3257,Sinking_of_HMS_Avon,Sinking_of_HMS_Avon_0_1_2,"In the battle, the ship-rigged sloop of war USS Wasp forced the Cruizer-class brig-sloop HMS Avon to surrender.",Causation,forced,Cause,the ship-rigged sloop of war USS Wasp,USS_Wasp,1
3260,Sinking_of_HMS_Avon,Sinking_of_HMS_Avon_0_1_2,"In the battle, the ship-rigged sloop of war USS Wasp forced the Cruizer-class brig-sloop HMS Avon to surrender.",Causation,forced,Effect,to surrender,N/A,N/A
3336,Battle_of_Tarafiyah_(1907),Battle_of_Tarafiyah_(1907)_0_1_2,The battle took place on 24 September 1907 and resulted in a Saudi victory.,Causation,resulted,Cause,The battle,N/A,N/A
3337,Battle_of_Tarafiyah_(1907),Battle_of_Tarafiyah_(1907)_0_1_2,The battle took place on 24 September 1907 and resulted in a Saudi victory.,Causation,resulted,Effect,in a Saudi victory,Ibn_Saud,0
3350,Battle_of_Milazzo_(1860),Battle_of_Milazzo_(1860)_0_1_2,The main clash began on the morning of the 20 July on an open field leading to the cape on which Milazzo is located.,Causation,leading,Cause,an open field,N/A,N/A
3351,Battle_of_Milazzo_(1860),Battle_of_Milazzo_(1860)_0_1_2,The main clash began on the morning of the 20 July on an open field leading to the cape on which Milazzo is located.,Causation,leading,Effect,to the cape on which Milazzo is located,Milazzo,1
3518,Battle_of_Ban_Me_Thuot,Battle_of_Ban_Me_Thuot_0_0_0,The Battle of Ban Me Thuot was a decisive battle of the Vietnam War which led to the complete destruction of South Vietnam's II Corps Tactical Zone.,Causation,led,Cause,which,N/A,N/A
3519,Battle_of_Ban_Me_Thuot,Battle_of_Ban_Me_Thuot_0_0_0,The Battle of Ban Me Thuot was a decisive battle of the Vietnam War which led to the complete destruction of South Vietnam's II Corps Tactical Zone.,Causation,led,Effect,to the complete destruction of South Vietnam's II Corps Tactical Zone,II_Corps_(South_Vietnam),1
3520,Battle_of_Ban_Me_Thuot,Battle_of_Ban_Me_Thuot_0_0_0,The Battle of Ban Me Thuot was a decisive battle of the Vietnam War which led to the complete destruction of South Vietnam's II Corps Tactical Zone.,Causation,led,Effect,to the complete destruction of South Vietnam's II Corps Tactical Zone,South_Vietnam,1
3542,Battle_of_Coral–Balmoral,Battle_of_Coral–Balmoral_0_6_2,"By 12 May the fighting was over, and the PAVN/VC were forced to withdraw having suffered heavy casualties.",Causation,forced,Effect,to withdraw,N/A,N/A
3625,Gulf_of_Tonkin_incident,Gulf_of_Tonkin_incident_0_0_5,"The Gulf of Tonkin incident (Vietnamese: Sự kiện Vịnh Bắc Bộ), also known as the USS Maddox incident, was an international confrontation that led to the United States engaging more directly in the Vietnam War.",Causation,led,Cause,that,N/A,N/A
3626,Gulf_of_Tonkin_incident,Gulf_of_Tonkin_incident_0_0_5,"The Gulf of Tonkin incident (Vietnamese: Sự kiện Vịnh Bắc Bộ), also known as the USS Maddox incident, was an international confrontation that led to the United States engaging more directly in the Vietnam War.",Causation,led,Effect,to the United States engaging more directly in the Vietnam War,South_Vietnam,0
3627,Gulf_of_Tonkin_incident,Gulf_of_Tonkin_incident_0_0_5,"The Gulf of Tonkin incident (Vietnamese: Sự kiện Vịnh Bắc Bộ), also known as the USS Maddox incident, was an international confrontation that led to the United States engaging more directly in the Vietnam War.",Causation,led,Effect,to the United States engaging more directly in the Vietnam War,Vietnam_War,1
3705,War_in_Vietnam_(1959–1963),War_in_Vietnam_(1959–1963)_0_0_11,"The 1959 to 1963 phase of the Vietnam War started after the North Vietnamese had made a firm decision to commit to a military intervention in the guerrilla war in the South Vietnam, a buildup phase began, between the 1959 North Vietnamese decision and the Gulf of Tonkin Incident, which led to a major US escalation of its involvement.",Causation,led,Cause,which,N/A,N/A
3706,War_in_Vietnam_(1959–1963),War_in_Vietnam_(1959–1963)_0_0_11,"The 1959 to 1963 phase of the Vietnam War started after the North Vietnamese had made a firm decision to commit to a military intervention in the guerrilla war in the South Vietnam, a buildup phase began, between the 1959 North Vietnamese decision and the Gulf of Tonkin Incident, which led to a major US escalation of its involvement.",Causation,led,Effect,a major US escalation of its involvement,N/A,N/A
3842,Battle_of_Győr,Battle_of_Győr_0_7_4,"Görgei was not in the city at the start of the battle, because he was in Pest, and arrived to Győr only towards the end of the battle.",Causation,because,Effect,Görgei was not in the city at the start of the battle,N/A,N/A
3843,Battle_of_Győr,Battle_of_Győr_0_7_4,"Görgei was not in the city at the start of the battle, because he was in Pest, and arrived to Győr only towards the end of the battle.",Causation,because,Cause,"he was in Pest, and arrived to Gyr only towards the end of the battle",Hungarian_Revolution_of_1848,0
4429,Siege_of_Coevorden_(1592),Siege_of_Coevorden_(1592)_0_3_6,However a failed attack on the besiegers as well as desertions and disease meant the Spanish relief force had to retreat leaving Coevorden to its fate.,Causation,leaving,Effect,to its fate,N/A,N/A
4439,Siege_of_Grave_(1602),Siege_of_Grave_(1602)_0_3_2,The defeat was severe enough to cause a major mutiny in the Spanish army.,Causation,cause,Cause,The defeat,N/A,N/A
4440,Siege_of_Grave_(1602),Siege_of_Grave_(1602)_0_3_2,The defeat was severe enough to cause a major mutiny in the Spanish army.,Causation,cause,Effect,a major mutiny in the Spanish army,N/A,N/A
4480,Spanish_Armada,Spanish_Armada_0_3_7,"The aim was to overthrow Queen Elizabeth I and her establishment of Protestantism in England, to stop English interference in the Spanish Netherlands, and to stop the harm caused by English and Dutch privateering ships that disrupted Spanish interests in the Americas.",Causation,caused,Effect,the harm,N/A,N/A
4481,Spanish_Armada,Spanish_Armada_0_3_7,"The aim was to overthrow Queen Elizabeth I and her establishment of Protestantism in England, to stop English interference in the Spanish Netherlands, and to stop the harm caused by English and Dutch privateering ships that disrupted Spanish interests in the Americas.",Causation,caused,Cause,by English and Dutch privateering ships that disrupted Spanish interests in the Americas,Dutch_Republic,1
4651,Battle_of_Jutland,Battle_of_Jutland_0_11_2,"The German plan had been delayed, causing further problems for their submarines, which had reached the limit of their endurance at sea.",Causation,causing,Effect,"further problems for their submarines, which had reached the limit of their endurance at sea",U-boat,1
4653,Battle_of_Kämärä,Battle_of_Kämärä_0_2_11,"After taking the village, the Whites ambushed a Red train carrying a large cargo of weapons from Saint Petersburg, but were finally forced to leave the scene as they ran out of ammunition.",Causation,forced,Effect,to leave the scene,N/A,N/A
4654,Battle_of_Kämärä,Battle_of_Kämärä_0_2_11,"After taking the village, the Whites ambushed a Red train carrying a large cargo of weapons from Saint Petersburg, but were finally forced to leave the scene as they ran out of ammunition.",Causation,forced,Cause,as they ran out of ammunition,N/A,N/A
4715,Battle_of_Mahiwa,Battle_of_Mahiwa_0_1_3,"The Germans inflicted substantial casualties upon Van Deventer's army, forcing it to withdraw.",Causation,forcing,Cause,The Germans,N/A,N/A
4717,Battle_of_Mahiwa,Battle_of_Mahiwa_0_1_3,"The Germans inflicted substantial casualties upon Van Deventer's army, forcing it to withdraw.",Causation,forcing,Effect,to withdraw,N/A,N/A
5090,Kerensky–Krasnov_uprising,Kerensky–Krasnov_uprising_0_5_3,"The failure of the uprising led to Kerensky being forced to go into exile, eventually finding refuge in France and later the United States.",Causation,forced,Effect,to go into exile,N/A,N/A
5744,Actions_along_the_Matanikau,Actions_along_the_Matanikau_0_9_2,The second action forced the Japanese to retreat from their positions east of the Matanikau and hindered Japanese preparations for their planned major offensive on the U.S.,Causation,forced,Cause,The second action,N/A,N/A
5746,Actions_along_the_Matanikau,Actions_along_the_Matanikau_0_9_2,The second action forced the Japanese to retreat from their positions east of the Matanikau and hindered Japanese preparations for their planned major offensive on the U.S.,Causation,forced,Effect,to retreat from their positions east of the Matanikau,N/A,N/A
5774,Atomic_bombings_of_Hiroshima_and_Nagasaki,Atomic_bombings_of_Hiroshima_and_Nagasaki_0_19_8,"Supporters believe that the atomic bombings were necessary to bring a swift end to the war with minimal casualties, while critics argue that the Japanese government could have been brought to surrender through other means, while highlighting the moral and ethical implications of nuclear weapons and the deaths caused to civilians.",Causation,brought,Effect,to surrender through other means,N/A,N/A
5802,Battle_at_Borodino_Field,Battle_at_Borodino_Field_0_2_0,Georgy Zhukov (...this division [32nd] was forced to cross the arms with the enemy on the Borodino Field...).,Causation,forced,Effect,to cross the arms with the enemy on the Borodino Field ),Battle_of_Borodino,1
5877,Battle_of_Beda_Fomm,Battle_of_Beda_Fomm_0_10_2,"The British were unable to continue beyond El Agheila anyway, because of vehicle breakdowns, exhaustion and the effect of the much longer supply transport distance from the base in Egypt.",Causation,of,Effect,The British were unable to continue beyond El Agheila anyway,El_Agheila,1
5878,Battle_of_Beda_Fomm,Battle_of_Beda_Fomm_0_10_2,"The British were unable to continue beyond El Agheila anyway, because of vehicle breakdowns, exhaustion and the effect of the much longer supply transport distance from the base in Egypt.",Causation,of,Cause,"vehicle breakdowns, exhaustion and the effect of the much longer supply transport distance from the base in Egypt",Kingdom_of_Egypt,1
